name,position,age,club,market,club_value,AwayTeam,AwayGoals,AwayShotsOnTarget,HomeTeam,HomeGoals,HomeShotsOnTarget,FullTimeResult,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamLossStreak,AwayTeamLossStreak
Andreas Skov Olsen,Right Winger,24.0,Club Brugge KV,18.0,€136.85m,,,,,,,,,,,
Anders Dreyer,Right Winger,26.0,RSC Anderlecht,15.0,€115.80m,,,,,,,,,,,
Kasper Dolberg,Centre-Forward,26.0,RSC Anderlecht,12.0,€115.80m,,,,,,,,,,,
Koki Machida,Centre-Back,27.0,Union Saint-Gilloise,10.0,€77.30m,,,,,,,,,,,
Raphael Onyedika,Defensive Midfield,23.0,Club Brugge KV,10.0,€136.85m,,,,,,,,,,,
Mario Stroeykens,Attacking Midfield,19.0,RSC Anderlecht,10.0,€115.80m,,,,,,,,,,,
Bryan Heynen,Central Midfield,27.0,KRC Genk,10.0,€73.60m,,,,,,,,,,,
Christos Tzolis,Left Winger,22.0,Club Brugge KV,10.0,€136.85m,,,,,,,,,,,
Maxim De Cuyper,Left-Back,23.0,Club Brugge KV,9.0,€136.85m,,,,,,,,,,,
Michel-Ange Balikwisha,Left Winger,23.0,Royal Antwerp FC,9.0,€60.70m,,,,,,,,,,,
Yari Verschaeren,Attacking Midfield,23.0,RSC Anderlecht,8.5,€115.80m,,,,,,,,,,,
Jean Butez,Goalkeeper,29.0,Royal Antwerp FC,8.0,€60.70m,,,,,,,,,,,
Vincent Janssen,Centre-Forward,30.0,Royal Antwerp FC,8.0,€60.70m,,,,,,,,,,,
Samuel Edozie,Left Winger,21.0,RSC Anderlecht,8.0,€115.80m,,,,,,,,,,,
Ferran Jutglà,Centre-Forward,25.0,Club Brugge KV,7.5,€136.85m,,,,,,,,,,,
Hans Vanaken,Attacking Midfield,32.0,Club Brugge KV,7.0,€136.85m,,,,,,,,,,,
Leander Dendoncker,Defensive Midfield,29.0,RSC Anderlecht,7.0,€115.80m,,,,,,,,,,,
Tsuyoshi Watanabe,Centre-Back,27.0,KAA Gent,7.0,€55.45m,,,,,,,,,,,
Luka Vuskovic,Centre-Back,17.0,KVC Westerlo,7.0,€40.88m,,,,,,,,,,,
Viktor Djukanovic,Left Winger,20.0,Standard Liège,7.0,€52.75m,,,,,,,,,,,
Hugo Vetlesen,Central Midfield,24.0,Club Brugge KV,7.0,€136.85m,,,,,,,,,,,
Ardon Jashari,Defensive Midfield,22.0,Club Brugge KV,6.0,€136.85m,,,,,,,,,,,
Sofiane Boufal,Left Winger,30.0,Union Saint-Gilloise,6.0,€77.30m,,,,,,,,,,,
Kevin Mac Allister,Centre-Back,26.0,Union Saint-Gilloise,6.0,€77.30m,,,,,,,,,,,
Zeno Van Den Bosch,Centre-Back,21.0,Royal Antwerp FC,6.0,€60.70m,,,,,,,,,,,
Arnaud Bodart,Goalkeeper,26.0,Standard Liège,6.0,€52.75m,,,,,,,,,,,
Thomas Foket,Right-Back,29.0,RSC Anderlecht,6.0,€115.80m,,,,,,,,,,,
Zaid Romero,Centre-Back,24.0,Club Brugge KV,6.0,€136.85m,,,,,,,,,,,
Bjorn Meijer,Left-Back,21.0,Club Brugge KV,6.0,€136.85m,,,,,,,,,,,
Alessio Castro-Montes,Right Midfield,27.0,Union Saint-Gilloise,6.0,€77.30m,,,,,,,,,,,
Carlos Cuesta,Centre-Back,25.0,KRC Genk,6.0,€73.60m,,,,,,,,,,,
Gustaf Nilsson,Centre-Forward,27.0,Club Brugge KV,6.0,€136.85m,,,,,,,,,,,
Roko Simic,Centre-Forward,20.0,KV Kortrijk,6.0,€28.30m,,,,,,,,,,,
Ardon Jashari,Defensive Midfield,22.0,Club Brugge KV,6.0,€136.85m,,,,,,,,,,,
Sofiane Boufal,Left Winger,30.0,Union Saint-Gilloise,6.0,€77.30m,,,,,,,,,,,
Tolu Arokodare,Centre-Forward,23.0,KRC Genk,5.5,€73.60m,,,,,,,,,,,
Noah Sadiki,Central Midfield,19.0,Union Saint-Gilloise,5.0,€77.30m,,,,,,,,,,,
Luis Vázquez,Centre-Forward,23.0,RSC Anderlecht,5.0,€115.80m,,,,,,,,,,,
Théo Leoni,Central Midfield,24.0,RSC Anderlecht,5.0,€115.80m,,,,,,,,,,,
Mathias Delorge,Central Midfield,20.0,KAA Gent,5.0,€55.45m,,,,,,,,,,,
Lazare Amani,Central Midfield,26.0,Union Saint-Gilloise,5.0,€77.30m,,,,,,,,,,,
Hugo Siquet,Right-Back,22.0,Club Brugge KV,5.0,€136.85m,,,,,,,,,,,
Francis Amuzu,Left Winger,25.0,RSC Anderlecht,5.0,€115.80m,,,,,,,,,,,
Zinho Vanheusden,Centre-Back,25.0,KV Mechelen,5.0,€28.50m,,,,,,,,,,,
Thorgan Hazard,Left Winger,31.0,RSC Anderlecht,5.0,€115.80m,,,,,,,,,,,
Killian Sardella,Right-Back,22.0,RSC Anderlecht,5.0,€115.80m,,,,,,,,,,,
Jordan Torunarigha,Centre-Back,27.0,KAA Gent,5.0,€55.45m,,,,,,,,,,,
Anan Khalaili,Right Winger,20.0,Union Saint-Gilloise,5.0,€77.30m,,,,,,,,,,,
Matte Smets,Centre-Back,20.0,KRC Genk,5.0,€73.60m,,,,,,,,,,,
Killian Sardella,Right-Back,22.0,RSC Anderlecht,5.0,€115.80m,,,,,,,,,,,
Jordan Torunarigha,Centre-Back,27.0,KAA Gent,5.0,€55.45m,,,,,,,,,,,
Anan Khalaili,Right Winger,20.0,Union Saint-Gilloise,5.0,€77.30m,,,,,,,,,,,
Matte Smets,Centre-Back,20.0,KRC Genk,5.0,€73.60m,,,,,,,,,,,
Jorne Spileers,Centre-Back,19.0,Club Brugge KV,5.0,€136.85m,,,,,,,,,,,
Charles Vanhoutte,Defensive Midfield,25.0,Union Saint-Gilloise,4.5,€77.30m,,,,,,,,,,,
Jelle Bataille,Right-Back,25.0,Royal Antwerp FC,4.5,€60.70m,,,,,,,,,,,
Kyriani Sabbe,Right-Back,19.0,Club Brugge KV,4.5,€136.85m,,,,,,,,,,,
Zakaria El Ouahdi,Right-Back,22.0,KRC Genk,4.5,€73.60m,,,,,,,,,,,
Yira Sor,Centre-Forward,24.0,KRC Genk,4.0,€73.60m,,,,,,,,,,,
Jacob Ondrejka,Right Winger,22.0,Royal Antwerp FC,4.0,€60.70m,,,,,,,,,,,
Ludwig Augustinsson,Left-Back,30.0,RSC Anderlecht,4.0,€115.80m,,,,,,,,,,,
Griffin Yow,Right Winger,21.0,KVC Westerlo,4.0,€40.88m,,,,,,,,,,,
Momodou Lamin Sonko,Left Winger,19.0,KAA Gent,4.0,€55.45m,,,,,,,,,,,
Dennis Praet,Central Midfield,30.0,Royal Antwerp FC,4.0,€60.70m,,,,,,,,,,,
Jarne Steuckers,Right Winger,22.0,KRC Genk,4.0,€73.60m,,,,,,,,,,,
Konstantinos Karetsas,Attacking Midfield,16.0,KRC Genk,4.0,€73.60m,,,,,,,,,,,
Loïc Lapoussin,Left Midfield,28.0,Union Saint-Gilloise,4.0,€77.30m,,,,,,,,,,,
Emin Bayram,Centre-Back,21.0,KVC Westerlo,4.0,€40.88m,,,,,,,,,,,
Faitout Maouassa,Left-Back,26.0,Club Brugge KV,4.0,€136.85m,,,,,,,,,,,
Nathan Ngoy,Centre-Back,21.0,Standard Liège,3.5,€52.75m,,,,,,,,,,,
Casper Nielsen,Central Midfield,30.0,Club Brugge KV,3.5,€136.85m,,,,,,,,,,,
Ken Nkuba,Right Midfield,22.0,KRC Genk,3.5,€73.60m,,,,,,,,,,,
Patrik Hrosovsky,Central Midfield,32.0,KRC Genk,3.5,€73.60m,,,,,,,,,,,
Christopher Bonsu Baah,Right Winger,19.0,KRC Genk,3.5,€73.60m,,,,,,,,,,,
Mats Rits,Defensive Midfield,31.0,RSC Anderlecht,3.5,€115.80m,,,,,,,,,,,
Andi Zeqiri,Centre-Forward,25.0,Standard Liège,3.5,€52.75m,,,,,,,,,,,
Matisse Samoise,Right Midfield,22.0,KAA Gent,3.5,€55.45m,,,,,,,,,,,
Omri Gandelman,Central Midfield,24.0,KAA Gent,3.5,€55.45m,,,,,,,,,,,
Mujaid Sadick,Centre-Back,24.0,KRC Genk,3.5,€73.60m,,,,,,,,,,,
Marko Bulat,Defensive Midfield,22.0,Standard Liège,3.5,€52.75m,,,,,,,,,,,
Lucas Noubi,Centre-Back,19.0,Standard Liège,3.0,€52.75m,,,,,,,,,,,
Alexis Flips,Attacking Midfield,24.0,R Charleroi SC,3.0,€32.03m,,,,,,,,,,,
Kevin Rodríguez,Centre-Forward,24.0,Union Saint-Gilloise,3.0,€77.30m,,,,,,,,,,,
Billal Brahimi,Left Winger,24.0,Sint-Truidense VV,3.0,€23.00m,,,,,,,,,,,
Marlon Fossey,Right-Back,26.0,Standard Liège,3.0,€52.75m,,,,,,,,,,,
Brandon Mechele,Centre-Back,31.0,Club Brugge KV,3.0,€136.85m,,,,,,,,,,,
Bryan Reynolds,Right-Back,23.0,KVC Westerlo,3.0,€40.88m,,,,,,,,,,,
Sotiris Alexandropoulos,Central Midfield,22.0,Standard Liège,3.0,€52.75m,,,,,,,,,,,
Jairo Riedewald,Defensive Midfield,28.0,Royal Antwerp FC,3.0,€60.70m,,,,,,,,,,,
Matija Frigan,Centre-Forward,21.0,KVC Westerlo,3.0,€40.88m,,,,,,,,,,,
Mathias Rasmussen,Central Midfield,26.0,Union Saint-Gilloise,2.8,€77.30m,,,,,,,,,,,
Toby Alderweireld,Centre-Back,35.0,Royal Antwerp FC,2.8,€60.70m,,,,,,,,,,,
Andri Gudjohnsen,Centre-Forward,22.0,KAA Gent,2.7,€55.45m,,,,,,,,,,,
Ryotaro Ito,Central Midfield,26.0,Sint-Truidense VV,2.5,€23.00m,,,,,,,,,,,
,,,,,,Anderlecht,1.0,,Mechelen,0.0,,A,6.0,12.0,6.0,12.0
,,,,,,Roeselare,1.0,,Charleroi,1.0,,D,9.0,1.0,9.0,1.0
,,,,,,Bergen,1.0,,Club Brugge,2.0,,H,21.0,3.0,21.0,3.0
,,,,,,Germinal,2.0,,Dender,1.0,,A,2.0,3.0,2.0,3.0
,,,,,,Westerlo,1.0,,FC Brussels,0.0,,A,3.0,3.0,3.0,3.0
,,,,,,Cercle Brugge,1.0,,Genk,3.0,,H,8.0,3.0,8.0,3.0
,,,,,,St Truiden,1.0,,Lokeren,2.0,,H,7.0,3.0,7.0,3.0
,,,,,,Gent,4.0,,Mouscron,1.0,,A,9.0,6.0,9.0,6.0
,,,,,,Standard,4.0,,Waregem,1.0,,A,9.0,6.0,9.0,6.0
,,,,,,Charleroi,0.0,,Westerlo,1.0,,H,5.0,4.0,5.0,4.0
,,,,,,Lokeren,0.0,,Anderlecht,1.0,,H,17.0,5.0,17.0,5.0
,,,,,,Mechelen,1.0,,Bergen,1.0,,D,7.0,5.0,7.0,5.0
,,,,,,Waregem,0.0,,Cercle Brugge,2.0,,H,6.0,6.0,6.0,6.0
,,,,,,Genk,0.0,,Gent,5.0,,H,12.0,7.0,12.0,7.0
,,,,,,Dender,1.0,,Roeselare,3.0,,H,4.0,2.0,4.0,2.0
,,,,,,Mouscron,2.0,,St Truiden,0.0,,A,5.0,2.0,5.0,2.0
,,,,,,FC Brussels,1.0,,Standard,4.0,,H,12.0,2.0,12.0,2.0
,,,,,,Club Brugge,1.0,,Germinal,0.0,,A,10.0,7.0,10.0,7.0
,,,,,,St Truiden,2.0,,Club Brugge,3.0,,H,21.0,3.0,21.0,3.0
,,,,,,Mechelen,0.0,,Charleroi,1.0,,H,9.0,5.0,9.0,5.0
,,,,,,Anderlecht,2.0,,Dender,2.0,,D,2.0,12.0,2.0,12.0
,,,,,,Gent,2.0,,FC Brussels,0.0,,A,3.0,6.0,3.0,6.0
,,,,,,Roeselare,0.0,,Genk,0.0,,D,8.0,1.0,8.0,1.0
,,,,,,Germinal,0.0,,Lokeren,0.0,,D,7.0,3.0,7.0,3.0
,,,,,,Bergen,1.0,,Mouscron,3.0,,H,9.0,3.0,9.0,3.0
,,,,,,Westerlo,0.0,,Waregem,1.0,,H,9.0,3.0,9.0,3.0
,,,,,,Cercle Brugge,1.0,,Standard,4.0,,H,12.0,3.0,12.0,3.0
,,,,,,FC Brussels,0.0,,Anderlecht,3.0,,H,17.0,2.0,17.0,2.0
,,,,,,Lokeren,1.0,,Bergen,0.0,,A,7.0,5.0,7.0,5.0
,,,,,,Dender,0.0,,Cercle Brugge,3.0,,H,6.0,2.0,6.0,2.0
,,,,,,Waregem,1.0,,Gent,1.0,,D,12.0,6.0,12.0,6.0
,,,,,,Genk,2.0,,Germinal,1.0,,A,10.0,7.0,10.0,7.0
,,,,,,Standard,4.0,,Roeselare,0.0,,A,4.0,6.0,4.0,6.0
,,,,,,Mouscron,2.0,,Westerlo,0.0,,A,5.0,2.0,5.0,2.0
,,,,,,Charleroi,3.0,,St Truiden,1.0,,A,5.0,4.0,5.0,4.0
,,,,,,Club Brugge,1.0,,Mechelen,1.0,,D,6.0,7.0,6.0,7.0
,,,,,,Bergen,1.0,,Charleroi,3.0,,H,9.0,3.0,9.0,3.0
,,,,,,Gent,1.0,,Cercle Brugge,4.0,,H,6.0,6.0,6.0,6.0
,,,,,,St Truiden,0.0,,Dender,1.0,,H,2.0,3.0,2.0,3.0
,,,,,,Roeselare,0.0,,FC Brussels,0.0,,D,3.0,1.0,3.0,1.0
,,,,,,Westerlo,0.0,,Genk,1.0,,H,8.0,3.0,8.0,3.0
,,,,,,Mechelen,1.0,,Lokeren,3.0,,H,7.0,5.0,7.0,5.0
,,,,,,Germinal,1.0,,Waregem,2.0,,H,9.0,3.0,9.0,3.0
,,,,,,Anderlecht,2.0,,Mouscron,1.0,,A,9.0,12.0,9.0,12.0
,,,,,,Club Brugge,1.0,,Standard,2.0,,H,12.0,7.0,12.0,7.0
,,,,,,Waregem,2.0,,Anderlecht,2.0,,D,17.0,6.0,17.0,6.0
,,,,,,FC Brussels,1.0,,Bergen,2.0,,H,7.0,2.0,7.0,2.0
,,,,,,Lokeren,1.0,,Club Brugge,1.0,,D,21.0,5.0,21.0,5.0
,,,,,,Charleroi,0.0,,Germinal,1.0,,H,10.0,4.0,10.0,4.0
,,,,,,Mouscron,2.0,,Mechelen,2.0,,D,6.0,2.0,6.0,2.0
,,,,,,Cercle Brugge,2.0,,Roeselare,0.0,,A,4.0,3.0,4.0,3.0
,,,,,,Dender,0.0,,Westerlo,0.0,,D,5.0,2.0,5.0,2.0
,,,,,,Standard,1.0,,Gent,1.0,,D,12.0,6.0,12.0,6.0
,,,,,,Genk,2.0,,St Truiden,1.0,,A,5.0,7.0,5.0,7.0
,,,,,,Germinal,1.0,,Cercle Brugge,1.0,,D,6.0,3.0,6.0,3.0
,,,,,,Bergen,3.0,,Dender,0.0,,A,2.0,3.0,2.0,3.0
,,,,,,St Truiden,0.0,,FC Brussels,2.0,,H,3.0,3.0,3.0,3.0
,,,,,,Roeselare,1.0,,Gent,1.0,,D,12.0,1.0,12.0,1.0
,,,,,,Lokeren,0.0,,Mouscron,2.0,,H,9.0,5.0,9.0,5.0
,,,,,,Mechelen,0.0,,Waregem,2.0,,H,9.0,5.0,9.0,5.0
,,,,,,Club Brugge,1.0,,Charleroi,1.0,,D,9.0,7.0,9.0,7.0
,,,,,,Anderlecht,1.0,,Genk,1.0,,D,8.0,12.0,8.0,12.0
,,,,,,Westerlo,1.0,,Standard,2.0,,H,12.0,3.0,12.0,3.0
,,,,,,Genk,1.0,,Bergen,1.0,,D,7.0,7.0,7.0,7.0
,,,,,,Charleroi,1.0,,Anderlecht,0.0,,A,17.0,4.0,17.0,4.0
,,,,,,Mouscron,0.0,,Club Brugge,1.0,,H,21.0,2.0,21.0,2.0
,,,,,,FC Brussels,1.0,,Lokeren,0.0,,A,7.0,2.0,7.0,2.0
,,,,,,Waregem,2.0,,Roeselare,3.0,,H,4.0,6.0,4.0,6.0
,,,,,,Standard,0.0,,St Truiden,0.0,,D,5.0,6.0,5.0,6.0
,,,,,,Cercle Brugge,1.0,,Westerlo,1.0,,D,5.0,3.0,5.0,3.0
,,,,,,Gent,2.0,,Germinal,2.0,,D,10.0,6.0,10.0,6.0
,,,,,,Dender,2.0,,Mechelen,2.0,,D,6.0,2.0,6.0,2.0
,,,,,,Mouscron,3.0,,Charleroi,1.0,,A,9.0,2.0,9.0,2.0
,,,,,,St Truiden,1.0,,Cercle Brugge,5.0,,H,6.0,3.0,6.0,3.0
,,,,,,Lokeren,1.0,,Dender,0.0,,A,2.0,5.0,2.0,5.0
,,,,,,Mechelen,1.0,,Genk,2.0,,H,8.0,5.0,8.0,5.0
,,,,,,Westerlo,1.0,,Gent,1.0,,D,12.0,3.0,12.0,3.0
,,,,,,Bergen,1.0,,Waregem,2.0,,H,9.0,3.0,9.0,3.0
,,,,,,Club Brugge,3.0,,FC Brussels,1.0,,A,3.0,7.0,3.0,7.0
,,,,,,Anderlecht,2.0,,Roeselare,2.0,,D,4.0,12.0,4.0,12.0
,,,,,,Germinal,1.0,,Standard,3.0,,H,12.0,3.0,12.0,3.0
,,,,,,Dender,0.0,,Club Brugge,2.0,,H,21.0,2.0,21.0,2.0
,,,,,,FC Brussels,0.0,,Germinal,3.0,,H,10.0,2.0,10.0,2.0
,,,,,,Charleroi,0.0,,Lokeren,1.0,,H,7.0,4.0,7.0,4.0
,,,,,,Cercle Brugge,4.0,,Mechelen,0.0,,A,6.0,3.0,6.0,3.0
,,,,,,Genk,1.0,,Mouscron,1.0,,D,9.0,7.0,9.0,7.0
,,,,,,Waregem,1.0,,St Truiden,2.0,,H,5.0,6.0,5.0,6.0
,,,,,,Roeselare,0.0,,Westerlo,6.0,,H,5.0,1.0,5.0,1.0
,,,,,,Gent,1.0,,Anderlecht,2.0,,H,17.0,6.0,17.0,6.0
,,,,,,Standard,1.0,,Bergen,1.0,,D,7.0,6.0,7.0,6.0
,,,,,,Bergen,0.0,,Gent,2.0,,H,12.0,3.0,12.0,3.0
,,,,,,Mouscron,3.0,,Dender,0.0,,A,2.0,2.0,2.0,2.0
,,,,,,Charleroi,2.0,,FC Brussels,1.0,,A,3.0,4.0,3.0,4.0
,,,,,,St Truiden,0.0,,Roeselare,2.0,,H,4.0,3.0,4.0,3.0
,,,,,,Mechelen,2.0,,Standard,2.0,,D,12.0,5.0,12.0,5.0
,,,,,,Lokeren,1.0,,Waregem,1.0,,D,9.0,5.0,9.0,5.0
,,,,,,Germinal,2.0,,Westerlo,1.0,,A,5.0,3.0,5.0,3.0
,,,,,,Anderlecht,0.0,,Cercle Brugge,0.0,,D,6.0,12.0,6.0,12.0
,,,,,,Club Brugge,2.0,,Genk,1.0,,A,8.0,7.0,8.0,7.0
,,,,,,Standard,0.0,,Mouscron,0.0,,D,9.0,6.0,9.0,6.0
,,,,,,Westerlo,1.0,,Anderlecht,3.0,,H,17.0,3.0,17.0,3.0
,,,,,,Cercle Brugge,2.0,,Bergen,0.0,,A,7.0,3.0,7.0,3.0
,,,,,,Dender,0.0,,Charleroi,1.0,,H,9.0,2.0,9.0,2.0
,,,,,,Waregem,0.0,,Club Brugge,1.0,,H,21.0,6.0,21.0,6.0
,,,,,,Roeselare,0.0,,Germinal,2.0,,H,10.0,1.0,10.0,1.0
,,,,,,Gent,1.0,,St Truiden,2.0,,H,5.0,6.0,5.0,6.0
,,,,,,Genk,1.0,,Lokeren,1.0,,D,7.0,7.0,7.0,7.0
,,,,,,FC Brussels,0.0,,Mechelen,4.0,,H,6.0,2.0,6.0,2.0
,,,,,,Club Brugge,2.0,,Cercle Brugge,1.0,,A,6.0,7.0,6.0,7.0
,,,,,,Dender,1.0,,FC Brussels,4.0,,H,3.0,2.0,3.0,2.0
,,,,,,Charleroi,0.0,,Genk,1.0,,H,8.0,4.0,8.0,4.0
,,,,,,Lokeren,0.0,,Standard,1.0,,H,12.0,5.0,12.0,5.0
,,,,,,Mouscron,1.0,,Waregem,2.0,,H,9.0,2.0,9.0,2.0
,,,,,,St Truiden,0.0,,Westerlo,2.0,,H,5.0,3.0,5.0,3.0
,,,,,,Mechelen,1.0,,Gent,4.0,,H,12.0,5.0,12.0,5.0
,,,,,,Anderlecht,0.0,,Germinal,2.0,,H,10.0,12.0,10.0,12.0
,,,,,,Bergen,3.0,,Roeselare,4.0,,H,4.0,3.0,4.0,3.0
,,,,,,Standard,0.0,,Anderlecht,0.0,,D,17.0,6.0,17.0,6.0
,,,,,,Westerlo,3.0,,Bergen,1.0,,A,7.0,3.0,7.0,3.0
,,,,,,Waregem,3.0,,Charleroi,2.0,,A,9.0,6.0,9.0,6.0
,,,,,,Cercle Brugge,1.0,,Lokeren,1.0,,D,7.0,3.0,7.0,3.0
,,,,,,Roeselare,3.0,,Mechelen,4.0,,H,6.0,1.0,6.0,1.0
,,,,,,FC Brussels,1.0,,Mouscron,1.0,,D,9.0,2.0,9.0,2.0
,,,,,,Germinal,3.0,,St Truiden,0.0,,A,5.0,3.0,5.0,3.0
,,,,,,Gent,0.0,,Club Brugge,0.0,,D,21.0,6.0,21.0,6.0
,,,,,,Genk,0.0,,Dender,2.0,,H,2.0,7.0,2.0,7.0
,,,,,,Charleroi,1.0,,Standard,5.0,,H,12.0,4.0,12.0,4.0
,,,,,,Mouscron,0.0,,Cercle Brugge,3.0,,H,6.0,2.0,6.0,2.0
,,,,,,Genk,5.0,,FC Brussels,0.0,,A,3.0,7.0,3.0,7.0
,,,,,,Lokeren,2.0,,Gent,4.0,,H,12.0,5.0,12.0,5.0
,,,,,,Bergen,0.0,,Germinal,2.0,,H,10.0,3.0,10.0,3.0
,,,,,,Dender,2.0,,Waregem,1.0,,A,9.0,2.0,9.0,2.0
,,,,,,Mechelen,1.0,,Westerlo,1.0,,D,5.0,5.0,5.0,5.0
,,,,,,Club Brugge,2.0,,Roeselare,1.0,,A,4.0,7.0,4.0,7.0
,,,,,,Anderlecht,3.0,,St Truiden,4.0,,H,5.0,12.0,5.0,12.0
,,,,,,Waregem,2.0,,Genk,5.0,,H,8.0,6.0,8.0,6.0
,,,,,,St Truiden,0.0,,Bergen,0.0,,D,7.0,3.0,7.0,3.0
,,,,,,Standard,0.0,,Dender,0.0,,D,2.0,6.0,2.0,6.0
,,,,,,Cercle Brugge,4.0,,FC Brussels,1.0,,A,3.0,3.0,3.0,3.0
,,,,,,Westerlo,1.0,,Lokeren,1.0,,D,7.0,3.0,7.0,3.0
,,,,,,Germinal,2.0,,Mechelen,1.0,,A,6.0,3.0,6.0,3.0
,,,,,,Roeselare,3.0,,Mouscron,1.0,,A,9.0,1.0,9.0,1.0
,,,,,,Gent,2.0,,Charleroi,1.0,,A,9.0,6.0,9.0,6.0
,,,,,,Anderlecht,0.0,,Club Brugge,1.0,,H,21.0,12.0,21.0,12.0
,,,,,,Bergen,2.0,,Anderlecht,3.0,,H,17.0,3.0,17.0,3.0
,,,,,,Dender,4.0,,Gent,2.0,,A,12.0,2.0,12.0,2.0
,,,,,,Mouscron,0.0,,Germinal,3.0,,H,10.0,2.0,10.0,2.0
,,,,,,Mechelen,1.0,,St Truiden,0.0,,A,5.0,5.0,5.0,5.0
,,,,,,FC Brussels,0.0,,Waregem,1.0,,H,9.0,2.0,9.0,2.0
,,,,,,Charleroi,1.0,,Cercle Brugge,3.0,,H,6.0,4.0,6.0,4.0
,,,,,,Genk,1.0,,Standard,3.0,,H,12.0,7.0,12.0,7.0
,,,,,,Club Brugge,1.0,,Bergen,0.0,,A,7.0,7.0,7.0,7.0
,,,,,,Mechelen,0.0,,Anderlecht,1.0,,H,17.0,5.0,17.0,5.0
,,,,,,Dender,0.0,,Germinal,1.0,,H,10.0,2.0,10.0,2.0
,,,,,,Charleroi,2.0,,Roeselare,1.0,,A,4.0,4.0,4.0,4.0
,,,,,,Lokeren,1.0,,St Truiden,1.0,,D,5.0,5.0,5.0,5.0
,,,,,,Waregem,1.0,,Standard,3.0,,H,12.0,6.0,12.0,6.0
,,,,,,FC Brussels,2.0,,Westerlo,7.0,,H,5.0,2.0,5.0,2.0
,,,,,,Genk,1.0,,Cercle Brugge,5.0,,H,6.0,7.0,6.0,7.0
,,,,,,Mouscron,0.0,,Gent,2.0,,H,12.0,2.0,12.0,2.0
,,,,,,Lokeren,1.0,,Roeselare,1.0,,D,4.0,5.0,4.0,5.0
,,,,,,Club Brugge,0.0,,Westerlo,0.0,,D,5.0,7.0,5.0,7.0
,,,,,,Cercle Brugge,3.0,,Waregem,0.0,,A,9.0,3.0,9.0,3.0
,,,,,,Westerlo,1.0,,Charleroi,1.0,,D,9.0,3.0,9.0,3.0
,,,,,,Germinal,0.0,,Club Brugge,3.0,,H,21.0,3.0,21.0,3.0
,,,,,,Roeselare,1.0,,Dender,2.0,,H,2.0,1.0,2.0,1.0
,,,,,,Gent,3.0,,Genk,3.0,,D,8.0,6.0,8.0,6.0
,,,,,,Bergen,0.0,,Mechelen,2.0,,H,6.0,3.0,6.0,3.0
,,,,,,St Truiden,0.0,,Mouscron,0.0,,D,9.0,3.0,9.0,3.0
,,,,,,Standard,1.0,,FC Brussels,0.0,,A,3.0,6.0,3.0,6.0
,,,,,,Anderlecht,0.0,,Lokeren,0.0,,D,7.0,12.0,7.0,12.0
,,,,,,Dender,0.0,,Anderlecht,1.0,,H,17.0,2.0,17.0,2.0
,,,,,,Mouscron,0.0,,Bergen,2.0,,H,7.0,2.0,7.0,2.0
,,,,,,FC Brussels,0.0,,Gent,1.0,,H,12.0,2.0,12.0,2.0
,,,,,,Charleroi,0.0,,Mechelen,1.0,,H,6.0,4.0,6.0,4.0
,,,,,,Genk,0.0,,Roeselare,0.0,,D,4.0,7.0,4.0,7.0
,,,,,,Waregem,1.0,,Westerlo,1.0,,D,5.0,6.0,5.0,6.0
,,,,,,Standard,0.0,,Cercle Brugge,0.0,,D,6.0,6.0,6.0,6.0
,,,,,,Lokeren,1.0,,Germinal,1.0,,D,10.0,5.0,10.0,5.0
,,,,,,Club Brugge,1.0,,St Truiden,1.0,,D,5.0,7.0,5.0,7.0
,,,,,,St Truiden,1.0,,Charleroi,1.0,,D,9.0,3.0,9.0,3.0
,,,,,,Mechelen,0.0,,Club Brugge,2.0,,H,21.0,5.0,21.0,5.0
,,,,,,Cercle Brugge,4.0,,Dender,2.0,,A,2.0,3.0,2.0,3.0
,,,,,,Anderlecht,4.0,,FC Brussels,2.0,,A,3.0,12.0,3.0,12.0
,,,,,,Bergen,2.0,,Lokeren,1.0,,A,7.0,3.0,7.0,3.0
,,,,,,Westerlo,2.0,,Mouscron,1.0,,A,9.0,3.0,9.0,3.0
,,,,,,Roeselare,0.0,,Standard,0.0,,D,12.0,1.0,12.0,1.0
,,,,,,Germinal,3.0,,Genk,1.0,,A,8.0,3.0,8.0,3.0
,,,,,,Gent,1.0,,Waregem,2.0,,H,9.0,6.0,9.0,6.0
,,,,,,Cercle Brugge,2.0,,Gent,3.0,,H,12.0,3.0,12.0,3.0
,,,,,,Charleroi,0.0,,Bergen,0.0,,D,7.0,4.0,7.0,4.0
,,,,,,Waregem,0.0,,Germinal,0.0,,D,10.0,6.0,10.0,6.0
,,,,,,Lokeren,1.0,,Mechelen,1.0,,D,6.0,5.0,6.0,5.0
,,,,,,FC Brussels,0.0,,Roeselare,2.0,,H,4.0,2.0,4.0,2.0
,,,,,,Dender,2.0,,St Truiden,1.0,,A,5.0,2.0,5.0,2.0
,,,,,,Genk,1.0,,Westerlo,2.0,,H,5.0,7.0,5.0,7.0
,,,,,,Mouscron,1.0,,Anderlecht,2.0,,H,17.0,2.0,17.0,2.0
,,,,,,Standard,2.0,,Club Brugge,1.0,,A,21.0,6.0,21.0,6.0
,,,,,,St Truiden,1.0,,Genk,0.0,,A,8.0,3.0,8.0,3.0
